Requirement_ID,Category,Requirement,Planned_or_Implemented_Artifacts,Verification_Evidence,Status,Notes
P2-OBJ-001,Objective,"Evaluate historical-replay and shadow recommendations without operational effects.","src/adf_poc/execution.py; src/adf_poc/engine.py; src/adf_poc/replay/harness.py; run_phase2.py; docs/phase2/ARCHITECTURE.md","tests/test_execution_modes.py; tests/test_replay_harness.py",Implemented,"Both read-only semantics are executable against synthetic fixtures; historical_case_count=0, no live feed is connected, and Phase 2.2 does not claim historical-pilot or shadow-deployment progression."
P2-FR-001,Functional,"Ingest a versioned replay manifest and local canonical JSONL snapshot.","contracts/v0.2.0/replay-manifest.schema.json; src/adf_poc/replay/adapters.py; src/adf_poc/replay/harness.py; run_phase2.py","tests/test_replay_contracts.py; tests/test_replay_harness.py",Implemented,"Canonical local JSONL only; no URL, archive, wildcard, stream, or vendor-network ingestion."
P2-FR-002,Functional,"Validate structural, semantic, and governance requirements before processing.","contracts/v0.2.0/replay-case.schema.json; contracts/v0.2.0/replay-manifest.schema.json; src/adf_poc/replay/contracts.py; src/adf_poc/replay/qualification.py; docs/phase2/DATA_CONTRACTS.md","tests/test_replay_contracts.py; tests/test_replay_qualification_unit.py",Implemented,"Manifest and governance failures abort; FAIL_DATASET validates the case set as one unit; QUARANTINE_RECORD allows only reviewed case-local defects and retains code-owned fatal whole-call conditions."
P2-FR-003,Functional,"Normalize valid event ordering while preserving mapping and temporal-ordering warnings.","src/adf_poc/replay/normalizer.py; src/adf_poc/replay/harness.py; outputs/replay/<run>/normalization_diagnostics.json","tests/test_replay_contracts.py; tests/test_replay_harness.py",Implemented,"Canonical key is observed_at, collected_at, source_type, source_instance, event_id; EVENT_ORDER_NORMALIZED is retained per affected case."
P2-FR-004,Functional,"Reject duplicate identifiers and capture record-specific reasons.","src/adf_poc/replay/contracts.py; src/adf_poc/replay/qualification.py; outputs/replay/<run>/qualification_accounting.jsonl; outputs/replay/<run>/rejections.jsonl","tests/test_replay_contracts.py; tests/test_replay_qualification_unit.py; tests/test_replay_qualification.py",Implemented,"Duplicate case/event IDs are sanitized fatal whole-call conditions; reviewed ordinary defects retain stable category/code metadata in qualification and rejection artifacts without payload text."
P2-FR-005,Functional,"Execute the frozen model, policy, and verifier in decision-only mode.","src/adf_poc/execution.py; src/adf_poc/engine.py; src/adf_poc/replay/harness.py","tests/test_execution_modes.py; tests/test_replay_harness.py",Implemented,"The harness snapshots the selected model and policy, runs only those bytes through a read-only ExecutionMode, and reverifies the snapshot after execution."
P2-FR-006,Functional,"Preserve proposed actions solely as counterfactual recommendations.","src/adf_poc/execution.py; src/adf_poc/engine.py","tests/test_execution_modes.py; tests/test_replay_harness.py",Implemented,"counterfactual_actions are retained while proposal.executable_actions and action_results remain empty."
P2-FR-007,Functional,"Keep adjudications physically and logically separate from runtime input.","contracts/v0.2.0/replay-adjudication.schema.json; data/phase2_starter/adjudications.jsonl; data/phase2_qualification/adjudications.jsonl; src/adf_poc/replay/harness.py","tests/test_replay_contracts.py; tests/test_replay_harness.py; tests/test_replay_qualification.py; tests/test_gate_b.py",Implemented,"The adjudication file is distinct and excluded from qualification. For historical origin its bytes are integrity-frozen inside the harness, but the path and contents are withheld from the runner; decoding and semantic loading occur only after accepted-case decisions and read-only audit checks close."
P2-FR-008,Functional,"Emit decisions, rejections, audit, data-quality, replay-metrics, and run-manifest artifacts.","src/adf_poc/replay/harness.py; src/adf_poc/replay/metrics.py; qualification_accounting.jsonl; rejections.jsonl; normalization_diagnostics.json; replay_decisions.jsonl; replay_audit.jsonl; replay_metrics.json; replay_run_manifest.json","tests/test_replay_harness.py; tests/test_replay_qualification.py",Implemented,"Qualification and rejection artifacts are emitted only when QUARANTINE_RECORD is selected and are hash/count-bound in the run manifest; default FAIL_DATASET behavior remains available."
P2-FR-009,Functional,"Record model, policy, contract, adapter, input, and deterministic-output versions or hashes.","data/phase2_starter/manifest.json; data/phase2_qualification/manifest.json; config/phase2_replay.json; config/phase2_qualification.json; src/adf_poc/replay/harness.py; replay_run_manifest.json","tests/test_replay_contracts.py; tests/test_replay_harness.py; tests/test_replay_qualification.py",Implemented,"The run manifest records contract/adapter/policy selection; exact snapshotted input digests/counts; deterministic artifacts including qualification/rejections when enabled; and current-run volatile decision/audit hashes."
P2-FR-010,Functional,"Produce a closed metadata-only qualification ledger and exact quarantined projection for every governed nonblank case occurrence.","contracts/v0.2.0/replay-qualification.schema.json; contracts/v0.2.0/replay-rejection.schema.json; contracts/v0.2.0/qualification-expectations.schema.json; src/adf_poc/replay/qualification.py; src/adf_poc/replay/harness.py; docs/phase2/RECORD_QUALIFICATION.md","tests/test_replay_qualification_unit.py; tests/test_replay_qualification.py",Implemented,"Ledger records contain only governed source identity, line ordinals, hashes, status, and stable error values; accepted errors are empty and no payload or free-form reason field exists."
P2-SAF-001,Safety,"Replay and shadow modes shall issue zero authorization tokens.","src/adf_poc/execution.py; src/adf_poc/engine.py; src/adf_poc/replay/harness.py","tests/test_execution_modes.py; tests/test_replay_harness.py",Implemented,"Read-only engine construction omits AuthorizationGate and authorization.issued remains false."
P2-SAF-002,Safety,"Replay and shadow modes shall invoke zero action brokers.","src/adf_poc/execution.py; src/adf_poc/engine.py; src/adf_poc/replay/harness.py","tests/test_execution_modes.py; tests/test_replay_harness.py",Implemented,"Read-only engine construction omits ActionBroker and the harness rejects nonzero broker counts."
P2-SAF-003,Safety,"Replay and shadow modes shall attempt zero operational effects.","src/adf_poc/execution.py; src/adf_poc/engine.py; docs/phase2/SHADOW_MODE_SAFETY.md","tests/test_execution_modes.py; tests/test_replay_harness.py",Implemented,"execution_control.operational_effects is zero; post-action verification is explicitly NOT_APPLICABLE with passed=null; and the harness rejects ACTION_EXECUTED, ACTION_REJECTED, or POST_ACTION_VERIFIED audit records."
P2-SAF-004,Safety,"Unknown or contradictory execution configuration shall fail closed.","src/adf_poc/execution.py; src/adf_poc/replay/contracts.py; config/phase2_replay.json; config/phase2_qualification.json","tests/test_execution_modes.py; tests/test_replay_contracts.py; tests/test_replay_harness.py",Implemented,"Unknown, synthetic-simulation, lowercase, or live-like Phase 2 modes and live_actions_enabled=true are rejected; QUARANTINE_RECORD is rejected for SHADOW_READ_ONLY."
P2-SAF-005,Safety,"No live connector or live-action capability shall exist in Phase 2.","src/adf_poc/execution.py; src/adf_poc/replay/adapters.py; run_phase2.py; docs/phase2/ARCHITECTURE.md","tests/test_execution_modes.py; tests/test_replay_contracts.py; architecture inspection",Implemented,"No LIVE enum, live-enablement parameter, network adapter, write-capable client, or action credential exists."
P2-SAF-006,Safety,"Reject historical input lacking replay approval or de-identification attestation.","contracts/v0.2.0/replay-manifest.schema.json; contracts/v0.2.0/gate-b-authorization.schema.json; src/adf_poc/replay/contracts.py; src/adf_poc/replay/gate_b.py; docs/phase2/DATA_CONTRACTS.md","tests/test_replay_contracts.py; tests/test_gate_b.py",Implemented,"Manifest attestations are necessary but insufficient. Historical origin also requires a current structurally valid Gate B package; machine conformance is not proof of approver authority, signature authenticity, or effective de-identification."
P2-SAF-007,Safety,"Prohibit labels and adjudication fields from runtime replay records.","contracts/v0.2.0/replay-case.schema.json; src/adf_poc/replay/contracts.py; src/adf_poc/replay/qualification.py; src/adf_poc/replay/harness.py","tests/test_replay_contracts.py; tests/test_replay_harness.py; tests/test_replay_qualification_unit.py; tests/test_gate_b.py",Implemented,"Forbidden keys are detected recursively; label contamination is fatal rather than quarantinable. Historical adjudication bytes are frozen inside the harness but their path and contents are not passed to or made discoverable beside the built-in runner."
P2-SAF-008,Safety,"Abort complete record qualification when source access, integrity, record-boundary, parser-resource, contract-version, label-separation, identifier-uniqueness, or classifier-completeness cannot be established.","src/adf_poc/replay/qualification.py; docs/phase2/RECORD_QUALIFICATION.md","tests/test_replay_qualification_unit.py; tests/test_replay_qualification.py",Implemented,"Source-read, encoding, line-size, JSON-nesting, version, label, duplicate-ID, count, digest, and unmapped-validator failures return sanitized fatal errors and no accepted subset; immediate and continuation-read fault injection proves operating-system text is not echoed."
P2-SEC-001,Security,"Verify manifest input digests and record counts before processing.","contracts/v0.2.0/replay-manifest.schema.json; src/adf_poc/replay/contracts.py; src/adf_poc/replay/qualification.py; src/adf_poc/replay/harness.py","tests/test_replay_contracts.py; tests/test_replay_harness.py; tests/test_replay_qualification_unit.py; tests/test_gate_b.py",Implemented,"Synthetic files are verified before decisions. Historical payload digests/counts are intentionally deferred until structural Gate B preflight passes; the qualifier then verifies its frozen case source, and the harness rechecks exact snapshots before finalization."
P2-SEC-002,Security,"Retain provenance and event-level traceability for accepted evidence.","src/adf_poc/replay/normalizer.py; src/adf_poc/engine.py; src/adf_poc/replay/harness.py","tests/test_dataset_and_pipeline.py; tests/test_replay_harness.py",Implemented,"Normalization preserves provenance_id and event IDs; decisions retain input, cited-evidence, and feature-trace event references."
P2-SEC-003,Security,"Hash-chain every replay decision and require exactly one canonical ordered eight-stage audit trace per accepted case.","src/adf_poc/audit.py; src/adf_poc/engine.py; src/adf_poc/replay/harness.py","tests/test_execution_modes.py; tests/test_replay_harness.py; tests/test_safety_controls.py",Implemented,"The harness enforces closed row/payload shapes; the exact CASE_RECEIVED through DECISION_FINALIZED sequence; global integer sequence and aware nondecreasing time; code-owned suppression; exact frozen-policy action binding; and decision ID/hash binding. This is CE-1 implementation conformance for the tested mutations, not independent recomputation, trusted time/custody, WORM protection, or resistance to wholesale chain replacement."
P2-SEC-005,Security,"Bind every run to immutable-in-run copies of the configuration, manifest, model, policy, cases, and adjudications actually used.","src/adf_poc/replay/contracts.py; src/adf_poc/replay/gate_b.py; src/adf_poc/replay/harness.py; replay_run_manifest.json","tests/test_replay_harness.py; tests/test_gate_b.py",Implemented,"The harness freezes and reverifies configuration, manifest, model, policy, and case bytes. Historical adjudication bytes remain harness-private until decisions close, then are written owner-only and decoded; Gate B controls are snapshotted from already-frozen bounded bytes."
P2-SEC-004,Security,"Confine configuration and manifest-relative paths beneath their allowed roots.","src/adf_poc/replay/contracts.py; src/adf_poc/replay/adapters.py; src/adf_poc/replay/gate_b.py; src/adf_poc/replay/secure_output.py; docs/phase2/DATA_CONTRACTS.md","tests/test_replay_contracts.py; tests/test_gate_b.py; tests/test_secure_output.py",Implemented,"Absolute, traversal, noncanonical, and resolved-root escape paths fail closed. Gate B inputs additionally reject disallowed components, symlinks, and hard links; historical artifact I/O is descriptor-bound to a new ignored run-specific outputs/replay directory."
P2-SEC-006,Security,"Treat the evaluation environment as a threat boundary and record isolation, egress, dependency, credential, monitoring, containment, termination, and residual-risk controls.","contracts/v0.2.0/evaluation-evidence.schema.json; docs/phase2/CLAIM_EVIDENCE_STANDARD.md; docs/phase2/RESEARCH_COVERAGE_REGISTER.md","scripts/validate_claim_evidence.py; planned sandbox-escape and covert-egress campaign",Partially implemented,"The claim contract requires explicit environment fields and the starter declares its same-process limitations; no OS-enforced isolation or adversarial escape evaluation has been completed."
P2-SEC-007,Security,"Prevent record qualification and rejection artifacts from disclosing rejected payloads, payload-derived identifiers, paths, or raw validator errors.","contracts/v0.2.0/replay-qualification.schema.json; contracts/v0.2.0/replay-rejection.schema.json; contracts/v0.2.0/qualification-expectations.schema.json; src/adf_poc/replay/qualification.py; docs/phase2/RECORD_QUALIFICATION.md","tests/test_replay_qualification_unit.py; tests/test_replay_qualification.py",Implemented,"Closed schemas and sanitized exceptions retain only line/source hashes and code-owned metadata; hashes remain linkable and require restricted handling for historical data."
P2-NFR-001,Nonfunctional,"Equivalent inputs shall produce identical semantic decisions excluding declared volatile engine/audit fields and shall produce byte-identical qualification artifacts.","src/adf_poc/replay/qualification.py; src/adf_poc/replay/normalizer.py; src/adf_poc/replay/harness.py","tests/test_replay_harness.py; tests/test_replay_qualification_unit.py; tests/test_replay_qualification.py",Implemented,"Qualification run identity, ledger, and rejection artifacts are deterministic for identical governed input; deterministic decision/comparison/metrics artifacts remain stable while raw engine/audit artifacts are volatile."
P2-NFR-002,Nonfunctional,"Run offline after declared dependencies are installed.","src/adf_poc/replay/adapters.py; run_phase2.py; requirements.txt","tests/test_replay_harness.py; static dependency inspection",Implemented,"The starter opens only confined local files and exposes no network client or URL ingestion."
P2-NFR-003,Nonfunctional,"Under the explicit offline qualification policy, process contract-valid cases when another case has a reviewed record-local defect; abort all cases on any code-owned fatal condition.","src/adf_poc/replay/qualification.py; src/adf_poc/replay/adapters.py; src/adf_poc/replay/harness.py; outputs/replay/<run>/rejections.jsonl","tests/test_replay_qualification_unit.py; tests/test_replay_qualification.py",Implemented,"Seven synthetic inputs yield three accepted decisions and four quarantined records; default FAIL_DATASET and all fatal classes still abort the complete case set."
P2-VV-001,Verification,"Cover every read-only execution-guard branch with automated tests.","tests/test_execution_modes.py; src/adf_poc/execution.py; src/adf_poc/engine.py",tests/test_execution_modes.py,Implemented,"Both read-only modes, synthetic compatibility, prohibited construction, and absence of a live mode are covered."
